Relative altitude [m],Wind speed [m/s],Wind direction [deg]
9.715,0.03586667999936037,-42.28335061851648
9.78,0.017609055176784908,40.14306586002462
9.827,0.013572554577096822,-133.55879323769503
9.862,0.08911203008878375,52.84962011305374
9.889,0.20343097117549147,16.63116194691346
9.917,0.22141763081267113,10.507969403351582
9.961,0.24177299090086282,8.639004696388438
10.01,0.2785771343119179,7.891182246132197
10.059000000000001,0.3114538620215645,6.532291589344296
10.106,0.32831007690978226,6.6626543392210085
10.15,0.32384414989882615,3.3224458309742633
10.192,0.31673011080050023,2.2897830572821007
10.232000000000001,0.3024572161833251,5.13302981982278
10.27,0.31740201014979996,5.166254288821209
10.307,0.32487396656512113,4.884258776054964
10.344,0.3118867394044146,7.765932747024254
10.38,0.301543303627756,9.416255942599554
10.416,0.30324697451084326,8.988207736490903
10.452,0.2921416734346301,6.392147494045948
10.487,0.28762638597133994,9.13818839024676
10.522,0.3064818658164491,8.657473852903152
10.557,0.3058310692487438,7.035322745861808
10.592,0.3008580255464439,6.986358971461859
10.628,0.3111074862800132,7.05342238087543
10.663,0.30066353134811075,8.05486833026016
10.698,0.2868411331628227,6.5952480664450235
10.733,0.2800078353175826,5.8892397805310654
10.769,0.2741301172941741,9.503115200897485
10.805,0.2541192065631039,9.219997432796772
10.842,0.2673524881147736,7.358753208090277
10.877,0.26312153292538343,9.25224332139619
10.913,0.26903296075769023,11.147666878889323
10.948,0.2575605761852747,10.933143886489113
10.984,0.35211619934815014,6.0278570349792515
11.02,0.41516955011484524,3.1057684135551678
11.055,0.42305292958087226,3.964925788170938
11.09,0.45302729507573364,5.217394693253609
11.124,0.4640789785434897,5.2138430318886995
11.159,0.4727179581016611,6.763715846103091
11.194,0.47631572086138135,7.104732649429271
11.23,0.4958077963233492,4.8361002916480835
11.266,0.5003648250104896,4.973982004798662
11.302,0.49226041329123055,7.143118465343049
11.337,0.4879781663630631,7.6901606739375925
11.372,0.49714272879246113,6.730605372471276
11.408,0.48515961869473956,4.45961126707732
11.443,0.48013567460056933,5.014165330458152
11.479000000000001,0.48663201047794513,7.395508003910963
11.515,0.4715058668986541,5.986467700222225
11.551,0.4626689360032424,5.485153861040308
11.586,0.46200373541304546,6.457122692215959
11.621,0.4585749073927843,5.886800382626919
11.656,0.46071439741470926,5.163509505060468
11.692,0.45643387852208767,5.9915604341211415
11.727,0.44897236854398825,7.3180525402795515
11.762,0.4622229792614096,5.097283274727561
11.797,0.46159097094645735,7.066086709305183
11.832,0.439946948044411,8.426832773456761
11.867,0.4385659727247305,9.74625855527575
11.902000000000001,0.458048200538733,8.01398909388703
11.938,0.44907718374667716,6.1343914302420774
11.973,0.5256758116482686,7.862515970069935
12.008000000000001,0.6812292465586524,6.3803250727500505
12.043000000000001,0.7224475406236021,5.0877932218463595
12.079,0.7299388934049116,4.395043254693323
12.114,0.765870552025106,4.804221907950116
12.149000000000001,0.8017835495336361,3.2623273754694697
12.185,0.8184471481241553,3.8751845752816445
12.221,0.8321518678383271,4.475325524302849
12.256,0.8282575453601162,4.9424733609583695
12.292,0.8261758175229862,4.778789759953056
12.327,0.8130532857626586,2.8663665493717305
12.362,0.7966924094016864,3.1125190853126843
12.397,0.798010641771318,2.5909056861441604
12.432,0.7969274140148308,2.3463131075461527
12.467,0.7957825563991622,3.113715620976498
12.503,0.7976147798651385,3.353496907370223
12.538,0.7887282721748544,2.6860292886558406
12.574,0.775148856325048,2.9669425053490537
12.609,0.7625843202910357,4.230883273678582
12.644,0.7594118490172537,4.475694537960713
12.679,0.7526704003121305,4.073241902751712
12.713000000000001,0.7666732131486482,3.672768520394754
12.748000000000001,0.7603169780826085,5.038551464201117
12.782,0.7494431323196019,5.893532141279009
12.818,0.7436035726277788,5.3779222901482955
12.853,0.7487090050926919,4.780150045637446
12.889000000000001,0.7556929073354817,5.894121233362611
12.925,0.7368798355582585,4.917405491319107
12.961,0.8432581093552171,3.8726928028123653
12.996,0.9966805513097455,2.737250057595534
13.031,1.0166343634821258,3.2187106059284543
13.067,1.0089639264654613,3.8608061380588294
13.102,1.0365042723858442,3.990165859496808
13.137,1.0788296495302883,4.0339735528439435
13.172,1.0879942082178726,3.9427174443549315
13.207,1.092184124257071,4.409628019866037
13.242,1.1029297356745884,3.999789308999859
13.276,1.0882450810871738,3.3329856345325664
13.312000000000001,1.0833195223253975,4.021220559691898
13.347,1.092726408969602,4.268326257031932
13.382,1.0861935919204395,4.521935839379372
13.417,1.0752966888755553,4.724935079105382
13.452,1.091606509228963,4.4825495470232655
13.486,1.0739333294492324,3.7525201553240697
13.521,1.0761006944020026,3.8632629730732653
13.556000000000001,1.0634343956421954,4.117060078772465
13.591000000000001,1.0593518089252236,3.365775163745022
13.627,1.0502030131397218,1.8623878119145616
13.662,1.0610427462925742,1.7883321896992699
13.697000000000001,1.059003007509502,2.597281570923792
13.732000000000001,1.0439245062826732,2.1557419595775524
13.767,1.0566961134672717,3.5128809803347387
13.802,1.046937086327486,3.8272944451288757
13.836,1.0695975894746144,2.920097899815878
13.871,1.0393589770585752,3.2764521744504
13.907,1.1802631551043157,3.1596151922882685
13.942,1.348969571378615,3.259416937033936
13.978,1.400813821682056,2.42134782615428
14.012,1.4119561640160252,1.8895367168954738
14.047,1.4562531827252052,2.034537680407977
14.082,1.5031853017111425,2.6346220487561807
14.117,1.510881742224342,2.5651513424036345
14.151,1.5309625984203996,2.272058079078412
14.186,1.5186307198916253,2.2257298301969106
14.222,1.5104781511276064,2.522503351318019
14.257,1.5181247688860793,2.5255861959956607
