time_boot_ms,pitch,roll,yaw,vx,vy,vz,relative_alt
49149.0,0.15954485469780724,0.14978488789982924,-7.186573072978383,-0.01,0.02,-0.26,9.715
49149.0,0.15954485469780724,0.14978488789982924,-7.186573072978383,-0.01,0.02,-0.26,9.715
49399.0,0.09304263780269875,0.02156027085009212,-7.186760903180559,-0.01,0.02,-0.2,9.78
49399.0,0.09304263780269875,0.02156027085009212,-7.186760903180559,-0.01,0.02,-0.2,9.78
49649.0,0.0877242549765728,0.06530605333628356,-7.185794431413003,-0.03,0.01,-0.15,9.827
49649.0,0.0877242549765728,0.06530605333628356,-7.185794431413003,-0.03,0.01,-0.15,9.827
49899.0,-0.4448541693460444,0.25249643220504797,-7.18103464333515,-0.07,0.02,-0.11,9.862
49899.0,-0.4448541693460444,0.25249643220504797,-7.18103464333515,-0.07,0.02,-0.11,9.862
50149.0,-0.9856183886259368,0.27138078468222254,-7.182843789691557,-0.07,0.02,-0.1,9.889
50149.0,-0.9856183886259368,0.27138078468222254,-7.182843789691557,-0.07,0.02,-0.1,9.889
50399.0,-1.0425708538030303,0.20987421083474367,-7.183254454815404,-0.06,0.02,-0.15,9.917
50399.0,-1.0425708538030303,0.20987421083474367,-7.183254454815404,-0.06,0.02,-0.15,9.917
50649.0,-1.087419263275509,0.1998737466727872,-7.182816468934877,-0.05,0.02,-0.2,9.961
50649.0,-1.087419263275509,0.1998737466727872,-7.182816468934877,-0.05,0.02,-0.2,9.961
50899.0,-1.1884374409348804,0.2200244455705512,-7.182087346240978,-0.04,0.02,-0.21,10.01
50899.0,-1.1884374409348804,0.2200244455705512,-7.182087346240978,-0.04,0.02,-0.21,10.01
51149.0,-1.278771495185059,0.22057016701306464,-7.181767181123633,-0.03,0.02,-0.2,10.059000000000001
51149.0,-1.278771495185059,0.22057016701306464,-7.181767181123633,-0.03,0.02,-0.2,10.059000000000001
51399.0,-1.3027251820477055,0.2338641563969292,-7.183272384061975,-0.02,0.02,-0.19,10.106
51399.0,-1.3027251820477055,0.2338641563969292,-7.183272384061975,-0.02,0.02,-0.19,10.106
51649.0,-1.2634968443233834,0.15453635168463095,-7.183734275604597,-0.01,0.02,-0.18,10.15
51649.0,-1.2634968443233834,0.15453635168463095,-7.183734275604597,-0.01,0.02,-0.18,10.15
51899.0,-1.2026915121241681,0.12335468383388477,-7.18485442662848,0.0,0.02,-0.17,10.192
51899.0,-1.2026915121241681,0.12335468383388477,-7.18485442662848,0.0,0.02,-0.17,10.192
52149.0,-1.1381015080728252,0.1706966859825869,-7.186153016344428,0.0,0.02,-0.16,10.232000000000001
52149.0,-1.1381015080728252,0.1706966859825869,-7.186153016344428,0.0,0.02,-0.16,10.232000000000001
52399.0,-1.188918649106249,0.2214603727816274,-7.186234978614468,0.0,0.01,-0.16,10.27
52399.0,-1.188918649106249,0.2214603727816274,-7.186234978614468,0.0,0.01,-0.16,10.27
52649.0,-1.2180746989606235,0.2216118375625577,-7.186950440930027,0.0,0.01,-0.16,10.307
52649.0,-1.2180746989606235,0.2216118375625577,-7.186950440930027,0.0,0.01,-0.16,10.307
52899.0,-1.155592448598464,0.2694749751408039,-7.186309256921692,0.0,0.01,-0.16,10.344
52899.0,-1.155592448598464,0.2694749751408039,-7.186309256921692,0.0,0.01,-0.16,10.344
53149.0,-1.1084328738655822,0.29114841935729724,-7.183377398220464,0.0,0.01,-0.15,10.38
